		SIG Parameters - Roster Preferences
2001	worktime	The point at which to abandon a callout or stop accepting responses for an emergent callout. For Fill Shift Callouts, this should be set to the default length of your fill shift callouts.
2002	checkstart	When considering availability, should ARCOS look at a single point in time or a range of time? If Normal Callouts evaluate a range of time, re-evaluate above answer or look at the Overlap section.
2003	autoextend	Should the working record for this callout type auto-extend? Should the employee be auto-released at the start of the next shift if not previously released via Inbound or the web? Typically set to Yes for Normal Callout types.
2004	ticket	Is there a Trouble Ticket entry field? Customer can control the terminology of the field (OMS Id, etc…). Is it required?
2005	co_reason	Do we display the callout reason? Is the callout reason a required selection?
2006	loc_vox	Should the Trouble Location be spoken to the employees? If so, is it the current Level 4 or should there be a drop-down menu?
2007	custom_msg	Does a main-level custom message element show to the user? Is it required? The system will choose from Java, Flash Plugin, or HTML5 to provide the functionality.
2008	subcustommsg	Should the user be able to select a custom message for sub-callouts under this callout Type? Should this be played in addition to the main level custom message or instead of the main message?
2009	emaildev	Does this Callout Type allow the choice to email a user's device? Should it be defaulted? ARCOS will email in order to send a text message to an employee.
2010	custommsgtxt	Are you able to enter Custom Message text for this Callout Type? Required for email devices. Can also be created on the Custom Message page.
2011	subcustommsgtxt	Should the user be able to enter custom message text for sub-callouts under this callout Type? Goes along with sub-custom-msg and email.
2012	pagerdelay	Should there be a pager Delay field for this Callout Type? Should it be a checkbox (static delay only), dropdown (static or dynamic)? What is the default pager delay (in seconds)? Should the delay be configured system-wide or location-specific? Does the customer have the ability to modify the pager delay? (Y, N)
2013	blastcall	Should there be a Blast Calling field for this Callout Type? Should it be defaulted?
2014	serialcall	Does this Callout Type use Serial Calling? Should it be checked by default?
2015	jarule	Is the Journeyman/Apprentice rule in effect for this Callout Type? Should it be defaulted?
2016	cun	Does this Callout Type keep calling? Should it be defaulted to yes?
2017	nosched	Should this callout type skip checking schedules? Answer No if you want to check schedules.
2018	listchain	Should I ALWAYS see all sequences from chained rosters when using this Callout Type? Should it be defaulted?
2019	attempts	What is the maximum number of attempts available to the user in the drop-down? What should be the default value if you would like the callout to auto-resubmit (attempts > 1)?
2020	resubmitdelay	If a re-submit is performed (via keep calling checkbox or sub-callout retry attempts), should there be a re-submit delay field for this Callout Type? Should there be a default value?
2021	curravail	What should this Callout Type do if an employee is currently working? (call you, pop-up, duty-phone as top priority if present?)
2022	picker	Which type of picker or selector should be available for this callout type? (e.g., location, roster, crew)
2023	defpick	What is the default Picker (Location, Roster, Crew, etc…) used for this callout type.
2024	inboundresp	Are you able to respond via IB to this Callout? Typically set to Yes.
2025	eventid	Should the Event ID be tied to the working schedule record? Associates the Callout type with "Working - XXX Callout". This should be yes for all non-notification callout types. Typically used for SOS, BC, and other non-standard notification types.
2026	charge	If Charges and Credits are applied, what is the attempt # where ARCOS begins to charge employees? (for that, and all subsequent attempts) (voluntary pass will be any pass less than this number)
2027	intercept	Do you want to implement Answering Machine Intercept? Enter the amount of time in seconds before it initiates (45 is typical).
2028	xfernum	This may (depending on hierarchy) be the transfer number for the callout.
2029	ovall	Should an override all (schedule exceptions) field be displayed to the user? Checked by default?
2030	runtime	Future Scheduled RunTime - Should this callout have the ability to be scheduled to run at a date/time in the future?
2031	empdelay	Employee Delay - Should this callout type have an employee delay? If Roster Pref see Tab 7.
